path,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,lentes_claros,lentes_oscuros,iluminacion_indadecuada,cara_cubierta,head pose,sombrero
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7346_0_0.jpg,159.0,165.0,244.0,141.0,208.0,211.0,196.0,261.0,264.0,238.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7339_0_0.jpg,167.0,150.0,245.0,178.0,197.0,228.0,137.0,234.0,206.0,261.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7298_0_0.jpg,143.0,155.0,232.0,145.0,228.0,213.0,165.0,251.0,237.0,233.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7228_0_0.jpg,118.0,165.0,283.0,164.0,191.0,209.0,147.0,264.0,243.0,267.0,0,0,0,0,0.0,1
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7469_0_0.jpg,167.0,150.0,253.0,150.0,203.0,208.0,167.0,228.0,252.0,230.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7468_1_0.jpg,138.0,168.0,248.0,162.0,193.0,221.0,155.0,253.0,266.0,243.0,0,0,1,1,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7297_0_0.jpg,148.0,157.0,248.0,152.0,205.0,211.0,145.0,264.0,248.0,259.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7287_0_0.jpg,142.0,152.0,233.0,148.0,199.0,192.0,168.0,245.0,219.0,238.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7284_0_0.jpg,147.0,148.0,256.0,144.0,198.0,215.0,163.0,228.0,248.0,229.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7277_0_0.jpg,144.0,141.0,233.0,150.0,160.0,215.0,153.0,242.0,248.0,247.0,0,0,0,0,1.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7274_0_0.jpg,162.0,149.0,244.0,148.0,203.0,189.0,172.0,234.0,233.0,233.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7267_0_0.jpg,151.0,152.0,258.0,139.0,209.0,224.0,175.0,265.0,255.0,251.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7263_0_0.jpg,157.0,148.0,253.0,145.0,209.0,218.0,164.0,248.0,244.0,247.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7241_0_0.jpg,140.0,147.0,244.0,172.0,168.0,212.0,147.0,238.0,227.0,255.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7231_0_0.jpg,159.0,141.0,244.0,152.0,225.0,198.0,158.0,240.0,240.0,245.0,0,0,1,0,0.0,1
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7217_0_0.jpg,159.0,136.0,268.0,156.0,218.0,206.0,151.0,244.0,244.0,261.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7209_0_0.jpg,161.0,154.0,246.0,150.0,207.0,190.0,182.0,238.0,232.0,238.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7313_0_0.jpg,148.0,147.0,248.0,145.0,198.0,209.0,163.0,253.0,236.0,251.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7280_0_0.jpg,158.0,156.0,253.0,165.0,213.0,213.0,160.0,244.0,247.0,249.0,0,0,0,0,0.0,1
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7278_0_0.jpg,152.0,140.0,251.0,147.0,204.0,215.0,152.0,250.0,232.0,252.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7281_0_0.jpg,136.0,152.0,245.0,146.0,195.0,223.0,159.0,262.0,240.0,257.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7252_0_0.jpg,164.0,142.0,282.0,126.0,246.0,207.0,187.0,251.0,290.0,237.0,0,0,1,0,0.0,1
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7234_0_0.jpg,164.0,143.0,259.0,152.0,196.0,210.0,153.0,229.0,251.0,243.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7218_0_0.jpg,153.0,151.0,257.0,141.0,205.0,210.0,175.0,261.0,253.0,254.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7305_0_0.jpg,128.0,139.0,191.0,142.0,122.0,223.0,145.0,261.0,204.0,262.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7283_1_0.jpg,157.0,138.0,244.0,154.0,185.0,201.0,152.0,246.0,227.0,257.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7269_0_0.jpg,125.0,150.0,208.0,163.0,147.0,210.0,134.0,237.0,191.0,255.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7311_0_0.jpg,172.0,147.0,262.0,162.0,214.0,228.0,146.0,232.0,247.0,242.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7248_0_0.jpg,159.0,139.0,245.0,161.0,213.0,213.0,131.0,235.0,214.0,261.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7243_0_0.jpg,156.0,156.0,246.0,148.0,203.0,209.0,171.0,257.0,248.0,254.0,1,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7242_0_0.jpg,169.0,149.0,276.0,152.0,228.0,193.0,184.0,244.0,254.0,247.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7240_0_0.jpg,166.0,143.0,242.0,138.0,209.0,182.0,179.0,227.0,242.0,224.0,0,1,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7236_0_0.jpg,155.0,150.0,254.0,144.0,205.0,215.0,170.0,248.0,264.0,238.0,1,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7229_0_0.jpg,159.0,162.0,246.0,141.0,205.0,214.0,181.0,266.0,250.0,253.0,1,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7222_0_0.jpg,164.0,159.0,261.0,140.0,225.0,213.0,198.0,264.0,272.0,250.0,0,0,0,0,0.0,1
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7221_0_0.jpg,161.0,152.0,252.0,152.0,210.0,212.0,165.0,250.0,249.0,251.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7212_1_0.jpg,158.0,142.0,253.0,144.0,214.0,213.0,153.0,234.0,240.0,237.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7206_0_0.jpg,168.0,126.0,259.0,164.0,189.0,206.0,140.0,244.0,202.0,267.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7383_0_0.jpg,159.0,152.0,240.0,163.0,194.0,213.0,142.0,232.0,243.0,244.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7301_0_0.jpg,157.0,141.0,253.0,147.0,199.0,213.0,147.0,237.0,249.0,240.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7259_0_0.jpg,156.0,168.0,238.0,143.0,198.0,215.0,193.0,258.0,258.0,237.0,0,0,0,0,1.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7250_0_0.jpg,152.0,143.0,241.0,142.0,177.0,213.0,163.0,268.0,242.0,264.0,0,0,1,0,1.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7244_0_0.jpg,170.0,156.0,261.0,154.0,240.0,209.0,181.0,256.0,260.0,250.0,1,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7111_0_0.jpg,145.0,161.0,231.0,148.0,173.0,215.0,163.0,242.0,250.0,233.0,0,0,0,0,1.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\6982_0_0.jpg,146.0,146.0,244.0,134.0,210.0,195.0,148.0,266.0,248.0,250.0,0,0,1,0,0.0,1
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\6981_0_0.jpg,176.0,159.0,248.0,145.0,242.0,210.0,178.0,252.0,245.0,246.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7212_0_0.jpg,146.0,168.0,222.0,150.0,167.0,208.0,159.0,272.0,229.0,252.0,0,0,1,0,1.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7203_1_0.jpg,157.0,146.0,252.0,144.0,200.0,212.0,162.0,241.0,251.0,239.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7050_0_0.jpg,134.0,180.0,196.0,156.0,139.0,209.0,155.0,258.0,204.0,248.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7197_0_0.jpg,153.0,144.0,239.0,140.0,203.0,200.0,160.0,229.0,241.0,230.0,1,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7153_0_0.jpg,155.0,154.0,249.0,149.0,193.0,198.0,163.0,257.0,244.0,259.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7121_0_0.jpg,144.0,144.0,226.0,153.0,151.0,202.0,142.0,231.0,206.0,246.0,0,0,0,0,1.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7086_0_0.jpg,142.0,159.0,242.0,137.0,201.0,217.0,179.0,257.0,263.0,239.0,1,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7035_0_0.jpg,151.0,150.0,238.0,147.0,183.0,195.0,154.0,243.0,228.0,247.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7212_2_0.jpg,157.0,145.0,249.0,162.0,182.0,219.0,141.0,236.0,231.0,253.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7203_0_0.jpg,146.0,145.0,250.0,151.0,207.0,204.0,166.0,271.0,232.0,273.0,0,0,1,0,0.0,0
