,path,bb_x1,bb_y1,bb_x2,bb_y2
0,0.jpg,162.15771,182.66946,757.0218,984.954
1,1.jpg,270.63538,151.05698,772.86426,956.2827
2,10.jpg,210.97946,180.33871,769.3656,938.5868
3,100.jpg,248.68893,207.62671,780.08777,941.8789
4,1000.jpg,287.8169,246.91568,796.4995,904.77454
5,10000.jpg,246.61734,151.61441,793.4049,1000.641
6,10001.jpg,262.8111,154.47824,835.6999,981.35754
7,10002.jpg,281.6314,295.35104,986.3293,941.9243
8,10003.jpg,238.8085,183.30682,757.6244,921.4539
9,10004.jpg,339.79688,144.76782,870.916,973.7821
10,10005.jpg,218.90643,29.32721,839.8315,1017.13727
11,10006.jpg,262.09534,126.10385,794.3314,975.85266
12,10007.jpg,289.8496,156.92984,802.90356,965.0897
13,10008.jpg,234.19788,185.142,754.0388,979.5348
14,10009.jpg,275.8783,132.13611,844.0298,991.86804
15,1001.jpg,232.1849,151.11307,779.5852,967.5591
16,10010.jpg,296.59134,48.581512,958.42786,932.9259
17,10011.jpg,308.33432,75.62991,786.7754,941.6763
18,10012.jpg,234.20581,162.5784,798.244,956.9227
19,10013.jpg,202.2042,141.78784,762.3794,952.74146
20,10014.jpg,260.10684,135.97104,776.0565,908.43726
21,10015.jpg,188.83728,305.1928,792.24554,930.0988
22,10016.jpg,242.6037,177.32419,896.51447,998.14417
23,10017.jpg,300.702,132.81635,977.6753,926.8929
24,10018.jpg,228.72473,161.41159,772.0845,949.5731
25,10019.jpg,235.69324,140.6904,814.1107,948.8795
26,1002.jpg,210.30392,1.2202148,893.0575,1037.4918
27,10020.jpg,236.10388,196.83572,787.7819,991.8627
28,10021.jpg,194.92984,177.61862,769.7633,942.589
29,10022.jpg,132.11276,156.2883,743.99854,978.7484
30,10023.jpg,186.18384,180.07596,762.96844,914.8882
31,10024.jpg,270.24207,301.294,738.81903,871.92035
32,10025.jpg,288.974,131.88889,736.04297,931.04846
33,10026.jpg,288.31702,139.99603,733.6935,983.4898
34,10027.jpg,237.5033,195.15683,775.6861,1001.2588
35,10028.jpg,327.85974,173.92383,754.7815,932.1282
36,10029.jpg,284.93683,244.42831,733.12213,872.2405
37,1003.jpg,187.44788,128.95175,811.76,965.14185
38,10030.jpg,270.58948,78.18753,806.3064,1015.24585
39,10031.jpg,249.21185,161.7981,774.4859,911.3069
40,10032.jpg,230.44073,187.81625,741.98914,938.6317
41,10033.jpg,266.61334,175.67352,764.8963,995.6193
42,10034.jpg,296.14175,180.7684,887.3684,970.3058
43,10035.jpg,88.91174,33.57431,799.26556,980.9446
44,10036.jpg,206.67462,97.14267,784.24036,1043.0422
45,10037.jpg,310.21313,176.20364,753.8241,958.7451
46,10038.jpg,191.37198,158.87527,777.036,1001.83813
47,10039.jpg,210.39914,202.29568,777.0602,967.2023
48,1004.jpg,247.96558,88.90961,800.8208,992.78766
49,10040.jpg,165.98529,31.45044,808.387,990.0575
50,10041.jpg,224.90793,134.48648,804.59937,945.9352
51,10043.jpg,235.75601,139.09976,804.5864,981.73596
52,10044.jpg,251.5068,119.519196,937.07996,970.4093
53,10045.jpg,227.9115,167.29077,787.65594,928.6875
54,10046.jpg,226.53287,168.12582,800.11304,955.5928
55,10047.jpg,275.51828,211.22446,842.99976,941.93774
56,10048.jpg,227.36346,51.25357,845.3913,1006.6012
57,10049.jpg,211.70032,201.95657,756.1422,962.0536
58,1005.jpg,243.12741,126.31973,779.3688,973.10974
59,10050.jpg,163.21011,184.20398,741.9568,938.93896
60,10051.jpg,210.08719,89.16028,731.00134,984.5188
61,10052.jpg,231.65524,71.75821,854.7477,985.21204
62,10053.jpg,242.78995,146.76828,774.4148,903.51184
63,10054.jpg,347.24054,221.61678,680.41925,730.16864
64,10055.jpg,159.62036,171.92151,762.8968,959.1151
65,10056.jpg,240.67194,159.73853,783.3198,937.36633
66,10057.jpg,243.19754,143.93658,765.80994,969.4937
67,10058.jpg,274.99377,81.59003,752.2427,956.87714
68,10059.jpg,256.98224,113.805145,793.03143,954.3148
69,1006.jpg,315.47458,106.653076,751.04663,1001.21606
70,10060.jpg,251.62431,113.894196,761.10986,966.3087
71,10061.jpg,262.24103,160.62643,813.924,962.73047
72,10062.jpg,226.87082,157.74185,810.2195,972.49426
73,10063.jpg,241.92032,119.17709,812.69226,926.4354
74,10064.jpg,103.77298,103.95328,805.7169,979.24963
75,10065.jpg,270.0145,152.91647,827.2772,970.234
76,10066.jpg,317.47052,250.7232,722.0667,946.57355
77,10067.jpg,234.96783,163.1377,830.21173,948.57227
78,10068.jpg,231.96823,137.50885,763.1439,960.58356
79,10069.jpg,258.9042,147.1489,853.44214,968.0807
80,1007.jpg,164.45392,115.774445,786.4718,989.6499
81,10070.jpg,169.98907,200.78598,805.9107,962.43066
82,10071.jpg,258.10965,232.3414,809.54443,947.1731
83,10072.jpg,220.62863,134.1771,837.9696,910.4508
84,10074.jpg,20.380676,48.164276,805.80884,1012.235
85,10075.jpg,151.84686,149.67209,750.55023,933.45605
86,10076.jpg,223.73816,138.78079,808.76013,915.81995
87,10077.jpg,139.6059,167.79807,770.7249,979.94324
88,10078.jpg,219.72351,151.38379,779.594,995.8013
89,10079.jpg,186.61758,152.2243,771.20483,980.3024
90,1008.jpg,267.2175,176.81503,833.77844,935.6255
91,10080.jpg,230.04034,181.34467,771.242,959.18365
92,10081.jpg,225.12744,93.35068,771.66644,976.31287
93,10082.jpg,348.13782,96.367096,845.8627,992.4104
94,10084.jpg,255.77463,117.60419,828.3961,990.4544
95,10085.jpg,258.65558,254.88306,797.54083,847.43164
96,10086.jpg,133.79535,94.80768,788.69586,947.2341
97,10087.jpg,244.76376,162.64972,775.07947,938.6336
98,10088.jpg,100.00711,163.2174,760.5421,952.82764
99,10089.jpg,245.82376,194.21472,758.69385,942.44434
100,1009.jpg,235.70084,150.4252,790.3915,1008.12683
101,10090.jpg,156.51398,266.81714,777.1721,915.7041
102,10091.jpg,222.22568,133.57932,798.0155,997.74854
103,10092.jpg,252.2338,174.70615,823.1001,944.24695
104,10093.jpg,142.31848,82.0238,748.51086,960.85925
105,10094.jpg,248.18512,153.8859,761.44226,926.86755
106,10095.jpg,249.05988,202.80884,740.5712,913.44336
107,10096.jpg,206.59106,126.532166,786.45416,917.56036
108,10097.jpg,232.45923,105.749115,820.9143,991.57263
109,10098.jpg,182.3778,164.8287,787.157,923.12195
110,10099.jpg,246.27206,55.653168,931.43787,959.4303
111,101.jpg,240.26389,150.41354,851.6344,988.0227
112,1010.jpg,253.21222,120.6264,848.10284,989.5655
113,10100.jpg,253.159,127.05835,789.61945,942.60596
114,10101.jpg,243.35693,107.84424,864.254,978.4507
115,10102.jpg,279.74805,145.12048,822.817,962.1383
116,10103.jpg,274.12787,119.13336,853.1685,1010.38776
117,10104.jpg,238.45978,87.194305,837.85406,980.3523
118,10105.jpg,265.70453,159.47366,755.23755,1001.2864
119,10106.jpg,253.33951,16.28946,794.37256,959.53687
120,10107.jpg,273.5921,178.2956,857.1353,989.9549
121,10108.jpg,209.64136,181.89233,822.07544,997.87585
122,10109.jpg,207.45316,115.12082,764.4419,1002.3707
123,1011.jpg,217.95529,178.59836,760.5669,934.2871
124,10110.jpg,223.599,127.8519,809.47034,1004.7423
125,10111.jpg,202.13846,176.88693,716.5354,1016.20544
126,10112.jpg,286.6699,138.9136,811.8865,939.41797
127,10113.jpg,195.18729,103.58035,803.2551,960.2993
128,10114.jpg,318.2103,113.68118,843.21484,995.66406
129,10115.jpg,133.68631,60.826996,725.60913,957.312
130,10116.jpg,272.7706,82.09299,848.26074,953.62634
131,10117.jpg,241.57965,275.1047,806.16364,877.48926
132,10118.jpg,275.02838,177.59732,749.539,946.01746
133,10119.jpg,159.95206,141.08145,716.9811,935.9452
134,1012.jpg,185.95978,116.32907,722.7354,980.82166
135,10120.jpg,198.83826,71.263,760.118,960.6132
136,10121.jpg,221.62766,66.58917,777.1929,937.06036
137,10122.jpg,284.5904,175.53345,756.2924,1003.9564
138,10123.jpg,229.53848,147.5076,766.73474,931.61084
139,10124.jpg,189.69107,192.03412,804.1185,990.8315
140,10125.jpg,251.61386,166.19748,829.44836,989.2145
141,10126.jpg,276.4901,168.15231,879.22,958.8739
142,10127.jpg,229.72583,183.59882,781.6088,901.5429
143,10128.jpg,214.72836,241.5044,876.4116,931.72144
144,10129.jpg,252.88904,127.18887,832.1312,974.693
145,1013.jpg,300.70026,239.34311,866.8193,976.8336
146,10130.jpg,312.27734,136.70062,865.3364,983.9936
147,10131.jpg,264.76862,152.02698,800.4902,943.32324
148,10132.jpg,253.90848,176.19803,785.73816,949.68384
149,10133.jpg,303.3781,223.94113,732.70966,897.4817
150,10134.jpg,347.4947,191.85446,842.80756,877.6908
151,10135.jpg,233.49533,306.43497,780.0902,928.41956
