path,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,lentes_claros,lentes_oscuros,ilumincacion,cara_cubierta,postura_inadecuada,sombrero,bb_x1,bb_y1,bb_x2,bb_y2
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person15243+0-45.jpg,194.5,130.0,236.5,127.0,236,168,200,189,233,186,0,0,1,0,1,0,124.01136,61.125534,234.12439,235.59999
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person15242+0-60.jpg,194.5,130.0,236.5,127.0,236,168,200,189,233,186,0,0,1,0,1,0,138.78555,51.245743,247.41574,234.94824
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person12219-30-15.jpg,172.5,138.0,223.0,138.5,207,179,178,196,219,196,0,0,1,0,1,0,124.10287,69.74817,235.87183,238.06862
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person12220-30+0.jpg,141.0,138.5,193.0,141.5,170,181,145,196,186,198,0,0,1,0,1,0,105.77248,77.410484,216.40222,231.17877
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person12221-30+15.jpg,114.5,142.5,162.0,144.0,138,184,118,200,160,201,0,0,1,0,1,0,86.033005,81.28628,193.37741,235.6455
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person12222-30+30.jpg,94.5,143.5,139.5,145.0,113,185,101,201,138,203,0,0,1,0,1,0,73.04324,76.329346,183.24884,235.44385
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person12224-30+60.jpg,94.5,143.5,139.5,145.0,113,185,101,201,138,203,0,0,1,0,1,0,41.52634,80.5013,149.0975,240.18094
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person12245+0-15.jpg,150.5,115.0,202.5,115.5,184,152,158,176,200,175,0,0,1,0,1,0,101.734955,52.916252,226.77141,210.6295
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person12246+0+0.jpg,134.5,115.0,186.0,114.0,165,152,141,176,182,174,0,0,1,0,1,0,95.71585,56.701572,212.79108,211.5956
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person12258+15-15.jpg,159.5,105.0,210.0,104.5,197,139,171,165,212,163,0,0,1,0,1,0,107.203415,48.41109,224.05046,200.39508
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person12259+15+0.jpg,137.5,102.5,190.0,102.5,168,137,143,162,185,161,0,0,1,0,1,0,101.2996,49.44747,213.75916,197.35861
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person12260+15+15.jpg,122.5,106.5,171.5,105.5,145,141,123,166,165,165,0,0,1,0,1,0,89.72732,48.720486,204.23038,203.91078
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person12261+15+30.jpg,107.0,106.5,152.0,105.5,123,141,104,166,143,165,0,0,1,0,1,0,77.95985,48.719772,190.47546,202.52208
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person12262+15+45.jpg,89.0,104.5,123.0,109.0,90,140,79,162,111,165,0,0,1,0,1,0,64.99843,44.974167,171.81268,198.56857
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person12271+30-15.jpg,154.5,94.0,205.5,94.5,193,125,167,151,209,150,0,0,1,0,1,0,105.105125,35.07379,222.99101,192.38585
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person12272+30+0.jpg,136.0,96.5,187.5,95.0,166,127,141,153,184,152,0,0,1,0,1,0,98.55258,39.98542,211.04343,191.44572
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person12273+30+15.jpg,115.5,96.5,163.0,94.5,135,126,113,155,153,152,0,0,1,0,1,0,89.56067,44.050884,193.38116,188.51245
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person12274+30+30.jpg,103.0,97.0,144.5,94.5,114,126,95,154,131,152,0,0,1,0,1,0,75.18561,41.603535,181.62848,188.47935
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11127-15-90.jpg,103.0,97.0,144.5,94.5,114,126,95,154,131,152,0,0,1,0,1,0,178.65845,54.934525,294.72797,251.60883
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11132-15-15.jpg,175.0,130.5,226.0,132.0,210,176,178,196,220,195,0,0,1,0,1,0,120.676346,56.301807,240.87694,234.96402
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11133-15+0.jpg,151.5,134.0,203.0,134.5,182,179,157,198,197,198,0,0,1,0,1,0,106.73902,63.140995,228.47905,242.86168
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11134-15+15.jpg,126.5,133.0,177.0,132.5,153,178,132,197,175,197,0,0,1,0,1,0,93.742195,62.0028,209.1683,237.0125
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11136-15+45.jpg,84.5,130.0,123.5,134.0,93,174,87,182,120,190,0,0,1,0,1,0,66.75415,58.774384,179.88414,231.17877
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11137-15+60.jpg,84.5,130.0,123.5,134.0,93,174,87,182,120,190,0,0,1,0,1,0,43.51014,65.17992,151.50188,230.72034
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11138-15+75.jpg,84.5,130.0,123.5,134.0,93,174,87,182,120,190,0,0,1,0,1,0,28.287998,49.980988,151.63322,231.46759
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11140+0-90.jpg,84.5,130.0,123.5,134.0,93,174,87,182,120,190,0,0,1,0,1,0,166.95425,50.851868,282.3562,227.87749
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11276+30+60.jpg,84.5,130.0,123.5,134.0,93,174,87,182,120,190,0,0,1,0,1,0,39.710968,38.354053,157.50983,213.1346
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11141+0-75.jpg,84.5,130.0,123.5,134.0,93,174,87,182,120,190,0,0,1,0,1,0,160.8496,56.263073,270.28192,226.37903
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11102-60-75.jpg,84.5,130.0,123.5,134.0,93,174,87,182,120,190,0,0,1,0,1,0,174.84064,103.66002,317.05933,255.5398
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11104-60-45.jpg,84.5,130.0,123.5,134.0,93,174,87,182,120,190,0,0,1,0,1,0,152.88977,104.951454,294.5767,261.85895
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11105-60-30.jpg,84.5,130.0,123.5,134.0,93,174,87,182,120,190,0,0,1,0,1,0,145.163,110.06071,273.4828,261.16772
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11106-60-15.jpg,84.5,130.0,123.5,134.0,93,174,87,182,120,190,0,0,1,0,1,0,123.10898,107.26233,238.16199,266.40967
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11107-60+0.jpg,84.5,130.0,123.5,134.0,93,174,87,182,120,190,0,0,1,0,1,0,109.969345,120.379105,218.92328,265.5491
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11108-60+15.jpg,84.5,130.0,123.5,134.0,93,174,87,182,120,190,0,0,1,0,1,0,94.200134,118.13594,208.88113,263.184
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11109-60+30.jpg,84.5,130.0,123.5,134.0,93,174,87,182,120,190,0,0,1,0,1,0,78.15719,107.415184,200.41507,262.58118
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11110-60+45.jpg,84.5,130.0,123.5,134.0,93,174,87,182,120,190,0,0,1,0,1,0,52.71679,85.43149,186.0065,256.30228
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11111-60+60.jpg,84.5,130.0,123.5,134.0,93,174,87,182,120,190,0,0,1,0,1,0,40.195026,88.496216,170.59993,253.10863
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11112-60+75.jpg,84.5,130.0,123.5,134.0,93,174,87,182,120,190,0,0,1,0,1,0,17.468296,98.05046,165.03381,246.59918
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11153+15-90.jpg,84.5,130.0,123.5,134.0,93,174,87,182,120,190,0,0,1,0,1,0,137.94331,37.69138,252.46042,219.43047
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11154+15-75.jpg,84.5,130.0,123.5,134.0,93,174,87,182,120,190,0,0,1,0,1,0,129.55954,38.19905,245.42326,219.99255
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11156+15-45.jpg,179.5,108.5,220.5,104.0,227,143,189,172,227,164,0,0,1,0,1,0,105.40845,33.34608,221.9068,225.08298
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11157+15-30.jpg,158.0,110.0,205.5,107.0,201,146,169,173,208,167,0,0,1,0,1,0,99.68616,42.198494,216.10675,208.55624
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11158+15-15.jpg,144.5,109.5,194.5,107.0,182,147,154,172,195,168,0,0,1,0,1,0,90.31804,42.46086,209.73134,209.64314
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11159+15+0.jpg,128.0,108.5,180.0,107.0,161,147,134,171,177,169,0,0,1,0,1,0,84.870834,39.386314,204.911,211.43846
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11160+15+15.jpg,117.0,110.5,166.5,110.5,142,151,116,173,160,174,0,0,1,0,1,0,84.81518,46.12252,199.31583,213.47787
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11161+15+30.jpg,97.5,111.0,141.0,111.5,112,151,94,174,133,176,0,0,1,0,1,0,71.72862,41.66624,189.03473,216.95581
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11167+30-75.jpg,97.5,111.0,141.0,111.5,112,151,94,174,133,176,0,0,1,0,1,0,105.69772,28.051752,218.2185,217.35324
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11168+30-60.jpg,168.0,99.0,203.0,87.0,219,127,189,159,220,149,0,0,1,0,1,0,97.10342,30.809612,209.732,210.66493
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11169+30-45.jpg,155.5,99.0,197.5,92.5,206,128,173,160,210,152,0,0,1,0,1,0,89.713745,29.762245,201.66965,201.86905
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11170+30-30.jpg,142.0,99.5,188.5,96.0,187,131,158,160,197,156,0,0,1,0,1,0,83.77818,38.838318,196.7457,198.36848
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11171+30-15.jpg,129.5,99.5,180.0,97.5,168,132,139,160,181,156,0,0,1,0,1,0,81.27085,36.821297,193.3836,197.69205
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11172+30+0.jpg,118.0,99.0,169.0,100.0,146,134,119,158,163,159,0,0,1,0,0,0,76.94191,38.931763,193.13649,196.78178
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11173+30+15.jpg,109.5,97.5,158.0,98.5,128,133,103,157,148,158,0,0,1,0,1,0,76.68532,33.492714,190.75916,198.34982
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11174+30+30.jpg,96.5,96.5,140.0,99.0,107,133,87,156,126,160,0,0,1,0,1,0,68.64091,31.780968,181.14255,200.62552
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11185+60+0.jpg,144.5,81.5,194.5,83.5,174,108,146,135,187,136,0,0,1,0,1,0,103.91943,25.863045,210.67131,178.98465
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11200-90+0.jpg,144.5,81.5,194.5,83.5,174,108,146,135,187,136,0,0,0,0,1,0,97.875534,153.29218,200.16472,272.4699
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11201-60-90.jpg,144.5,81.5,194.5,83.5,174,108,146,135,187,136,0,0,1,0,1,0,178.7561,92.70728,290.55264,259.45895
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11202-60-75.jpg,144.5,81.5,194.5,83.5,174,108,146,135,187,136,0,0,1,0,1,0,164.14423,94.34724,292.8624,254.28511
C:\Users\isaac\Downloads\kara2018_headposeannotations\all_pics\person11203-60-60.jpg,144.5,81.5,194.5,83.5,174,108,146,135,187,136,0,0,1,0,1,0,145.28444,91.69629,282.0924,259.54593
