path,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,lentes_claros,lentes_oscuros,ilumincacion,cara_cubierta,postura_inadecuada,sombrero,bb_x1,bb_y1,bb_x2,bb_y2
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7346_0_0.jpg,159.0,165.0,244.0,141.0,208.0,211.0,196.0,261.0,264.0,238.0,0,0,0,0,0.0,0,94.8161,51.946556,307.2447,307.9123
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7339_0_0.jpg,167.0,150.0,245.0,178.0,197.0,228.0,137.0,234.0,206.0,261.0,0,0,0,0,0.0,0,64.88964,59.937263,262.76523,293.5281
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7298_0_0.jpg,143.0,155.0,232.0,145.0,228.0,213.0,165.0,251.0,237.0,233.0,0,0,0,0,0.0,0,47.232365,46.779358,252.63731,309.8998
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7228_0_0.jpg,118.0,165.0,283.0,164.0,191.0,209.0,147.0,264.0,243.0,267.0,0,0,0,0,0.0,1,32.874393,51.095844,330.3097,325.56805
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7469_0_0.jpg,167.0,150.0,253.0,150.0,203.0,208.0,167.0,228.0,252.0,230.0,0,0,1,0,0.0,0,108.56451,45.381165,294.95493,307.45212
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7468_1_0.jpg,138.0,168.0,248.0,162.0,193.0,221.0,155.0,253.0,266.0,243.0,0,0,1,1,0.0,0,58.851837,22.845793,310.77692,340.26385
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7297_0_0.jpg,148.0,157.0,248.0,152.0,205.0,211.0,145.0,264.0,248.0,259.0,0,0,0,0,0.0,0,53.070198,66.44062,269.62204,328.09586
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7287_0_0.jpg,142.0,152.0,233.0,148.0,199.0,192.0,168.0,245.0,219.0,238.0,0,0,1,0,0.0,0,64.01439,45.44109,272.32593,307.81436
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7284_0_0.jpg,147.0,148.0,256.0,144.0,198.0,215.0,163.0,228.0,248.0,229.0,0,0,0,0,0.0,0,86.99655,38.160347,286.77255,306.44528
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7277_0_0.jpg,144.0,141.0,233.0,150.0,160.0,215.0,153.0,242.0,248.0,247.0,0,0,0,0,1.0,0,105.9153,29.976059,321.20877,339.17612
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7274_0_0.jpg,162.0,149.0,244.0,148.0,203.0,189.0,172.0,234.0,233.0,233.0,0,0,1,0,0.0,0,106.030014,54.458584,276.64154,280.54443
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7267_0_0.jpg,151.0,152.0,258.0,139.0,209.0,224.0,175.0,265.0,255.0,251.0,0,0,0,0,0.0,0,70.773,20.59846,296.6136,340.3927
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7263_0_0.jpg,157.0,148.0,253.0,145.0,209.0,218.0,164.0,248.0,244.0,247.0,0,0,0,0,0.0,0,77.35263,39.980625,285.74496,332.84293
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7241_0_0.jpg,140.0,147.0,244.0,172.0,168.0,212.0,147.0,238.0,227.0,255.0,0,0,0,0,0.0,0,90.062355,40.01006,333.0092,323.54883
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7231_0_0.jpg,159.0,141.0,244.0,152.0,225.0,198.0,158.0,240.0,240.0,245.0,0,0,1,0,0.0,1,70.03252,46.190453,269.95322,320.7682
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7217_0_0.jpg,159.0,136.0,268.0,156.0,218.0,206.0,151.0,244.0,244.0,261.0,0,0,0,0,0.0,0,68.744026,32.920765,312.88315,323.37732
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7209_0_0.jpg,161.0,154.0,246.0,150.0,207.0,190.0,182.0,238.0,232.0,238.0,0,0,0,0,0.0,0,95.6815,50.076675,297.86496,285.67435
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7313_0_0.jpg,148.0,147.0,248.0,145.0,198.0,209.0,163.0,253.0,236.0,251.0,0,0,0,0,0.0,0,82.821144,27.116728,303.1178,314.84518
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7280_0_0.jpg,158.0,156.0,253.0,165.0,213.0,213.0,160.0,244.0,247.0,249.0,0,0,0,0,0.0,1,78.69389,48.964226,282.4756,331.23065
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7278_0_0.jpg,152.0,140.0,251.0,147.0,204.0,215.0,152.0,250.0,232.0,252.0,0,0,0,0,0.0,0,73.808815,59.284615,277.57977,313.10904
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7281_0_0.jpg,136.0,152.0,245.0,146.0,195.0,223.0,159.0,262.0,240.0,257.0,0,0,1,0,0.0,0,66.03701,46.605755,290.06702,308.03754
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7252_0_0.jpg,164.0,142.0,282.0,126.0,246.0,207.0,187.0,251.0,290.0,237.0,0,0,1,0,0.0,1,90.49466,39.25482,332.0941,321.06577
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7234_0_0.jpg,164.0,143.0,259.0,152.0,196.0,210.0,153.0,229.0,251.0,243.0,0,0,1,0,0.0,0,105.31385,62.821293,304.14923,328.83945
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7218_0_0.jpg,153.0,151.0,257.0,141.0,205.0,210.0,175.0,261.0,253.0,254.0,0,0,0,0,0.0,0,71.368744,19.758533,313.6508,328.16034
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7305_0_0.jpg,128.0,139.0,191.0,142.0,122.0,223.0,145.0,261.0,204.0,262.0,0,0,1,0,0.0,0,96.91876,29.128456,300.9686,338.6315
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7283_1_0.jpg,157.0,138.0,244.0,154.0,185.0,201.0,152.0,246.0,227.0,257.0,0,0,1,0,0.0,0,90.47855,22.05969,292.05795,326.04114
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7269_0_0.jpg,125.0,150.0,208.0,163.0,147.0,210.0,134.0,237.0,191.0,255.0,0,0,1,0,0.0,0,81.397125,61.371292,290.15598,303.47296
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7311_0_0.jpg,172.0,147.0,262.0,162.0,214.0,228.0,146.0,232.0,247.0,242.0,0,0,1,0,0.0,0,79.31944,28.35759,288.07355,322.6183
