path,bb_x1,bb_y1,bb_x2,bb_y2
0.png,67.809746,24.535595,101.00116,67.875435
1.png,64.70407,28.132689,92.58888,66.952774
10.png,24.123611,24.427593,57.77835,72.80977
100.png,84.748375,28.350496,134.31964,96.68888
1000.png,68.38371,22.408783,100.42566,65.96706
1001.png,31.443945,41.172897,69.76041,90.038025
1002.png,48.09716,20.922298,94.89141,86.695175
1003.png,46.584087,23.175417,65.36785,43.97327
1005.png,87.53799,25.76994,109.6174,54.962776
1006.png,61.85936,29.198772,106.635666,83.50445
1007.png,104.46645,6.518954,131.16469,46.086636
1008.png,79.782715,20.520597,122.98897,79.363396
1009.png,8.556583,15.090111,60.0297,99.9551
101.png,43.678,29.325972,82.16172,96.77443
1011.png,53.109013,16.386036,95.93474,68.68209
1012.png,62.929,19.28331,99.24589,64.26346
1013.png,28.453636,26.777998,60.340446,67.178764
1014.png,71.74584,14.126642,97.50468,46.06487
1016.png,50.57922,4.43897,113.72614,80.656
1017.png,6.7326293,9.250108,73.088264,76.224174
1018.png,97.66207,21.466827,129.6997,63.869606
1019.png,24.39016,12.029077,52.728374,45.37073
1020.png,37.101215,17.991962,91.56593,89.453636
1021.png,22.373934,16.364017,70.46491,74.476166
1022.png,127.42439,22.771818,140.12856,39.281147
1023.png,68.470085,21.36727,100.75115,67.08226
1024.png,57.60836,18.061798,123.9053,77.27202
1025.png,87.70952,34.189426,106.34257,58.34108
1026.png,88.8568,32.020016,109.51721,60.990837
1027.png,29.70073,46.720905,64.62918,101.48038
1028.png,61.201145,14.182649,106.22465,74.9024
1029.png,42.491478,25.583248,80.97661,72.99816
103.png,57.119858,17.907278,91.0032,70.175385
1030.png,34.207302,38.88572,60.474964,67.931114
1031.png,48.236027,33.56437,100.12721,100.04379
1032.png,69.76817,12.411973,83.1038,34.012737
1033.png,55.296883,19.768232,74.43428,47.238613
1034.png,48.522865,37.597073,95.69598,100.76321
1035.png,57.420155,17.980623,99.70187,77.504944
1036.png,51.09266,6.733924,76.69514,42.440125
1037.png,64.82228,10.020997,88.628296,42.34307
1038.png,39.416046,14.211252,97.877014,79.225464
1039.png,71.89537,14.304727,101.97525,50.919823
104.png,56.14439,11.083901,97.55701,67.77904
1040.png,35.15597,23.430136,76.6749,81.170074
1041.png,59.678528,19.520006,88.00742,62.70028
1042.png,76.720184,9.77423,103.973625,45.25359
1043.png,41.6423,40.31703,92.75999,105.97471
1044.png,44.581528,16.391552,71.01909,49.594364
1046.png,86.55898,13.619658,110.77646,47.09807
1047.png,27.750381,20.374619,81.44368,74.33416
1048.png,71.861755,19.89199,102.04901,58.03958
1049.png,87.905396,25.55857,118.90665,60.658234
105.png,50.591164,35.231197,73.44904,63.666927
1050.png,45.226723,-1.0407702,95.808304,48.18351
1051.png,3.552291,35.13254,31.129442,63.14009
1052.png,74.11905,10.863576,95.68137,35.372334
1054.png,61.706833,4.5370708,94.35193,44.719948
1055.png,77.72462,8.404115,105.64249,42.9992
1056.png,27.45241,35.976933,65.472145,84.14952
1057.png,69.81043,6.4935856,118.05738,72.81242
1058.png,16.131516,26.443178,80.11536,96.923065
1059.png,42.90382,19.55642,70.624,56.302624
106.png,40.614628,16.168846,61.406647,43.57029
1060.png,142.80824,63.80911,161.21188,93.99513
1061.png,11.295276,17.527832,41.70174,65.96981
1062.png,22.09361,14.210061,102.488495,108.70546
1063.png,1.0444686,26.442085,54.654964,104.27407
1064.png,51.42762,23.338123,98.92367,86.32019
1065.png,48.036385,20.627766,73.36992,54.415333
1066.png,43.477566,22.597696,88.061134,84.70903
1067.png,21.20561,9.5259695,80.645584,75.65657
1068.png,65.757034,11.537962,85.68648,42.860863
1069.png,25.68882,15.482541,47.984734,55.24052
107.png,45.298622,43.59442,95.76319,100.20756
1070.png,45.418613,3.2916293,123.55421,93.6571
1071.png,60.30119,34.35826,87.871666,70.83725
1072.png,25.962921,30.503393,57.365135,64.59453
1073.png,17.848242,12.530306,85.50711,91.2367
1074.png,79.04152,41.207336,131.02191,98.53351
1075.png,29.489334,23.06562,37.204212,35.252293
1076.png,28.247383,17.129559,70.58085,64.63418
1077.png,29.233925,14.560416,54.061893,42.423195
1078.png,57.89905,4.4762325,103.55344,43.88507
1079.png,61.88481,2.262528,92.25337,55.479095
108.png,34.53602,25.628756,83.89003,96.442
1080.png,58.77755,12.241154,89.79038,61.78207
1081.png,50.731506,3.9247231,114.20678,85.7142
1082.png,22.89679,17.95149,49.05856,60.971012
1083.png,138.02588,65.28102,152.31288,86.06908
1084.png,67.95578,11.6875925,111.55937,65.15098
1085.png,18.488792,25.365738,65.911316,84.16665
1086.png,66.611176,14.429812,129.33194,96.872604
1087.png,49.13871,23.554148,88.80493,81.11649
1088.png,61.986412,14.922647,94.77168,57.70634
1089.png,68.84367,10.03854,103.45189,59.149803
1090.png,41.54827,26.141378,94.60367,93.53851
1091.png,64.93069,31.330973,107.51881,80.59087
1092.png,55.463314,22.092056,121.325775,91.02984
1093.png,47.581055,34.69566,93.01938,83.82924
1094.png,58.275967,14.532312,95.43291,69.20192
1095.png,21.141232,25.466478,61.676456,82.102356
1096.png,41.518173,25.748682,99.07695,98.95919
1097.png,79.42683,10.839475,95.50122,38.20516
1098.png,85.590836,22.93853,115.44862,62.0475
1099.png,82.30396,29.981264,103.75891,54.6921
11.png,101.11685,12.968083,139.47313,61.93586
110.png,67.02091,50.11074,99.84614,87.48389
1100.png,103.53894,20.672453,116.94894,37.75319
1101.png,103.36048,16.664515,133.77548,62.949913
1102.png,51.585472,27.72469,74.735176,53.57073
1103.png,83.60827,14.777459,97.241005,31.406466
1104.png,110.74209,34.17463,138.38106,67.10511
1105.png,42.204517,15.0106325,54.61424,34.20653
1106.png,16.544744,13.619033,78.2102,81.883064
1107.png,25.074974,15.075556,43.866905,37.57075
1108.png,51.89101,10.185411,91.657425,69.44387
1109.png,48.537773,19.223013,87.77828,79.3569
111.png,52.666924,19.23933,80.76901,57.658184
1110.png,40.692204,25.734669,54.420868,43.57322
1111.png,78.66781,12.02585,104.269905,50.469646
1112.png,33.78385,23.596802,72.10583,72.325935
1113.png,33.106354,31.527033,64.6141,67.6881
1114.png,36.93974,14.491503,99.27467,98.4607
1115.png,54.105103,12.389032,108.554596,97.9906
1116.png,49.14064,23.395378,80.92199,80.59487
1117.png,31.366901,17.975811,93.375565,111.00902
1118.png,21.523737,31.38191,75.310425,114.389885
1119.png,52.07557,14.954833,70.09578,41.01729
112.png,45.565117,17.847496,92.80343,79.91805
1120.png,27.332037,32.803436,44.60199,56.9501
1121.png,43.23697,15.498431,82.81763,71.67703
1122.png,44.516014,25.888859,105.1088,99.49093
1123.png,53.39585,19.273403,84.0636,64.33581
1124.png,74.38401,11.877499,101.57788,46.681477
1125.png,25.274527,19.856533,110.58973,129.05438
1126.png,18.3352,19.491951,57.094482,70.75822
1127.png,22.052183,25.555922,72.035774,89.45317
1128.png,103.363716,31.338497,152.88266,86.79931
1129.png,34.265785,8.110676,68.47587,47.105373
113.png,35.150715,15.522654,66.203804,58.19222
1130.png,2.0302846,4.087575,62.12428,64.28733
1131.png,61.70593,12.377956,78.65824,31.993639
1132.png,60.279793,12.585913,101.702644,66.790665
1133.png,27.531517,47.998966,77.46001,99.306145
1134.png,63.052105,23.86377,121.30031,82.56698
1135.png,63.57596,17.528782,111.26545,70.871376
1136.png,98.77356,7.908091,117.63493,33.193806
1137.png,57.02748,13.295558,93.14991,74.28783
1138.png,72.60263,23.29642,103.47456,67.15254
1139.png,33.951717,25.068127,86.62841,104.21513
114.png,57.09972,11.386716,85.90258,53.79927
1140.png,63.77425,19.738724,96.81073,54.60239
1141.png,58.535664,9.357454,79.49808,39.325386
1142.png,42.222237,20.644026,110.817444,93.63656
