path,bb_x1,bb_y1,bb_x2,bb_y2,width,height
0.png,67.809746,24.535595,101.00116,67.875435,162,116
1.png,64.70407,28.132689,92.58888,66.952774,162,108
10.png,24.123611,24.427593,57.77835,72.80977,88,140
100.png,84.748375,28.350496,134.31964,96.68888,162,136
1000.png,68.38371,22.408783,100.42566,65.96706,162,118
1001.png,31.443945,41.172897,69.76041,90.038025,93,139
1002.png,48.09716,20.922298,94.89141,86.695175,162,121
1003.png,46.584087,23.175417,65.36785,43.97327,127,140
1005.png,87.53799,25.76994,109.6174,54.962776,162,116
1006.png,61.85936,29.198772,106.635666,83.50445,162,91
1007.png,104.46645,6.518954,131.16469,46.086636,162,91
1008.png,79.782715,20.520597,122.98897,79.363396,162,121
1009.png,8.556583,15.090111,60.0297,99.9551,162,121
101.png,43.678,29.325972,82.16172,96.77443,93,140
1011.png,53.109013,16.386036,95.93474,68.68209,162,108
1012.png,62.929,19.28331,99.24589,64.26346,140,139
1013.png,28.453636,26.777998,60.340446,67.178764,93,139
1014.png,71.74584,14.126642,97.50468,46.06487,162,108
1016.png,50.57922,4.43897,113.72614,80.656,140,140
1017.png,6.7326293,9.250108,73.088264,76.224174,93,140
1018.png,97.66207,21.466827,129.6997,63.869606,162,135
1019.png,24.39016,12.029077,52.728374,45.37073,93,140
1020.png,37.101215,17.991962,91.56593,89.453636,112,140
1021.png,22.373934,16.364017,70.46491,74.476166,100,140
1022.png,127.42439,22.771818,140.12856,39.281147,162,105
1023.png,68.470085,21.36727,100.75115,67.08226,162,105
1024.png,57.60836,18.061798,123.9053,77.27202,162,91
1025.png,87.70952,34.189426,106.34257,58.34108,162,91
1026.png,88.8568,32.020016,109.51721,60.990837,162,91
1027.png,29.70073,46.720905,64.62918,101.48038,140,122
1028.png,61.201145,14.182649,106.22465,74.9024,162,106
1029.png,42.491478,25.583248,80.97661,72.99816,112,140
103.png,57.119858,17.907278,91.0032,70.175385,162,108
1030.png,34.207302,38.88572,60.474964,67.931114,105,140
1031.png,48.236027,33.56437,100.12721,100.04379,141,140
1032.png,69.76817,12.411973,83.1038,34.012737,93,140
1033.png,55.296883,19.768232,74.43428,47.238613,112,140
1034.png,48.522865,37.597073,95.69598,100.76321,140,140
1035.png,57.420155,17.980623,99.70187,77.504944,162,108
1036.png,51.09266,6.733924,76.69514,42.440125,162,91
1037.png,64.82228,10.020997,88.628296,42.34307,162,91
1038.png,39.416046,14.211252,97.877014,79.225464,140,139
1039.png,71.89537,14.304727,101.97525,50.919823,162,84
104.png,56.14439,11.083901,97.55701,67.77904,162,120
1040.png,35.15597,23.430136,76.6749,81.170074,101,139
1041.png,59.678528,19.520006,88.00742,62.70028,162,121
1042.png,76.720184,9.77423,103.973625,45.25359,162,75
1043.png,41.6423,40.31703,92.75999,105.97471,131,140
1044.png,44.581528,16.391552,71.01909,49.594364,127,140
1046.png,86.55898,13.619658,110.77646,47.09807,162,81
1047.png,27.750381,20.374619,81.44368,74.33416,93,140
1048.png,71.861755,19.89199,102.04901,58.03958,162,105
1049.png,87.905396,25.55857,118.90665,60.658234,162,101
105.png,50.591164,35.231197,73.44904,63.666927,162,108
1050.png,45.226723,-1.0407702,95.808304,48.18351,112,117
1051.png,3.552291,35.13254,31.129442,63.14009,105,117
1052.png,74.11905,10.863576,95.68137,35.372334,162,100
1054.png,61.706833,4.5370708,94.35193,44.719948,162,49
1055.png,77.72462,8.404115,105.64249,42.9992,162,108
1056.png,27.45241,35.976933,65.472145,84.14952,118,140
1057.png,69.81043,6.4935856,118.05738,72.81242,162,91
1058.png,16.131516,26.443178,80.11536,96.923065,92,140
1059.png,42.90382,19.55642,70.624,56.302624,162,81
106.png,40.614628,16.168846,61.406647,43.57029,112,117
1060.png,142.80824,63.80911,161.21188,93.99513,162,108
1061.png,11.295276,17.527832,41.70174,65.96981,125,140
1062.png,22.09361,14.210061,102.488495,108.70546,162,121
1063.png,1.0444686,26.442085,54.654964,104.27407,140,140
1064.png,51.42762,23.338123,98.92367,86.32019,140,140
1065.png,48.036385,20.627766,73.36992,54.415333,144,117
1066.png,43.477566,22.597696,88.061134,84.70903,162,115
1067.png,21.20561,9.5259695,80.645584,75.65657,162,91
1068.png,65.757034,11.537962,85.68648,42.860863,162,90
1069.png,25.68882,15.482541,47.984734,55.24052,162,83
107.png,45.298622,43.59442,95.76319,100.20756,140,117
1070.png,45.418613,3.2916293,123.55421,93.6571,162,101
1071.png,60.30119,34.35826,87.871666,70.83725,140,140
1072.png,25.962921,30.503393,57.365135,64.59453,105,140
1073.png,17.848242,12.530306,85.50711,91.2367,112,140
1074.png,79.04152,41.207336,131.02191,98.53351,162,124
1075.png,29.489334,23.06562,37.204212,35.252293,93,140
1076.png,28.247383,17.129559,70.58085,64.63418,141,140
1077.png,29.233925,14.560416,54.061893,42.423195,93,140
1078.png,57.89905,4.4762325,103.55344,43.88507,162,54
1079.png,61.88481,2.262528,92.25337,55.479095,162,91
108.png,34.53602,25.628756,83.89003,96.442,93,117
1080.png,58.77755,12.241154,89.79038,61.78207,162,91
1081.png,50.731506,3.9247231,114.20678,85.7142,162,108
1082.png,22.89679,17.95149,49.05856,60.971012,115,117
1083.png,138.02588,65.28102,152.31288,86.06908,162,91
1084.png,67.95578,11.6875925,111.55937,65.15098,162,107
1085.png,18.488792,25.365738,65.911316,84.16665,96,140
1086.png,66.611176,14.429812,129.33194,96.872604,162,121
1087.png,49.13871,23.554148,88.80493,81.11649,139,140
1088.png,61.986412,14.922647,94.77168,57.70634,162,91
1089.png,68.84367,10.03854,103.45189,59.149803,162,91
1090.png,41.54827,26.141378,94.60367,93.53851,140,140
1091.png,64.93069,31.330973,107.51881,80.59087,162,107
1092.png,55.463314,22.092056,121.325775,91.02984,140,140
1093.png,47.581055,34.69566,93.01938,83.82924,140,140
1094.png,58.275967,14.532312,95.43291,69.20192,162,91
1095.png,21.141232,25.466478,61.676456,82.102356,105,140
1096.png,41.518173,25.748682,99.07695,98.95919,112,140
1097.png,79.42683,10.839475,95.50122,38.20516,162,108
1098.png,85.590836,22.93853,115.44862,62.0475,162,108
1099.png,82.30396,29.981264,103.75891,54.6921,140,140
11.png,101.11685,12.968083,139.47313,61.93586,162,87
110.png,67.02091,50.11074,99.84614,87.48389,131,116
1100.png,103.53894,20.672453,116.94894,37.75319,162,85
1101.png,103.36048,16.664515,133.77548,62.949913,162,90
1102.png,51.585472,27.72469,74.735176,53.57073,162,100
1103.png,83.60827,14.777459,97.241005,31.406466,162,106
1104.png,110.74209,34.17463,138.38106,67.10511,162,97
1105.png,42.204517,15.0106325,54.61424,34.20653,93,113
1106.png,16.544744,13.619033,78.2102,81.883064,105,140
1107.png,25.074974,15.075556,43.866905,37.57075,162,108
1108.png,51.89101,10.185411,91.657425,69.44387,140,140
1109.png,48.537773,19.223013,87.77828,79.3569,162,108
111.png,52.666924,19.23933,80.76901,57.658184,162,91
1110.png,40.692204,25.734669,54.420868,43.57322,93,117
1111.png,78.66781,12.02585,104.269905,50.469646,162,90
1112.png,33.78385,23.596802,72.10583,72.325935,140,115
1113.png,33.106354,31.527033,64.6141,67.6881,93,140
1114.png,36.93974,14.491503,99.27467,98.4607,140,140
1115.png,54.105103,12.389032,108.554596,97.9906,162,112
1116.png,49.14064,23.395378,80.92199,80.59487,162,108
1117.png,31.366901,17.975811,93.375565,111.00902,140,140
1118.png,21.523737,31.38191,75.310425,114.389885,105,140
1119.png,52.07557,14.954833,70.09578,41.01729,162,101
112.png,45.565117,17.847496,92.80343,79.91805,162,115
1120.png,27.332037,32.803436,44.60199,56.9501,162,90
1121.png,43.23697,15.498431,82.81763,71.67703,162,99
1122.png,44.516014,25.888859,105.1088,99.49093,140,115
1123.png,53.39585,19.273403,84.0636,64.33581,140,117
1124.png,74.38401,11.877499,101.57788,46.681477,162,91
1125.png,25.274527,19.856533,110.58973,129.05438,140,140
1126.png,18.3352,19.491951,57.094482,70.75822,111,140
1127.png,22.052183,25.555922,72.035774,89.45317,78,117
1128.png,103.363716,31.338497,152.88266,86.79931,162,91
1129.png,34.265785,8.110676,68.47587,47.105373,162,85
113.png,35.150715,15.522654,66.203804,58.19222,90,140
1130.png,2.0302846,4.087575,62.12428,64.28733,140,140
1131.png,61.70593,12.377956,78.65824,31.993639,162,101
1132.png,60.279793,12.585913,101.702644,66.790665,162,91
1133.png,27.531517,47.998966,77.46001,99.306145,112,117
1134.png,63.052105,23.86377,121.30031,82.56698,162,115
1135.png,63.57596,17.528782,111.26545,70.871376,162,100
1136.png,98.77356,7.908091,117.63493,33.193806,162,90
1137.png,57.02748,13.295558,93.14991,74.28783,162,108
1138.png,72.60263,23.29642,103.47456,67.15254,162,108
1139.png,33.951717,25.068127,86.62841,104.21513,105,140
114.png,57.09972,11.386716,85.90258,53.79927,162,108
1140.png,63.77425,19.738724,96.81073,54.60239,162,112
1141.png,58.535664,9.357454,79.49808,39.325386,127,140
1142.png,42.222237,20.644026,110.817444,93.63656,162,92
1143.png,45.0435,56.8621,85.63997,106.68589,93,131
1144.png,75.65466,13.52032,92.746605,32.8771,162,91
1145.png,61.3509,11.974593,80.26283,47.617886,162,108
1146.png,51.811985,12.142123,77.20591,44.026966,93,140
1147.png,35.72394,23.094425,56.4538,49.594162,93,140
1148.png,68.820335,38.263485,108.51513,95.721306,162,121
1149.png,43.50149,8.341492,65.4393,40.952385,162,91
115.png,71.81508,2.1524582,90.85694,25.59311,162,108
1150.png,47.014435,13.0090685,73.145546,46.721493,162,108
1151.png,72.313705,24.009102,88.58195,42.574265,162,108
1153.png,47.189354,18.088707,74.71855,47.96792,162,91
1154.png,51.42488,19.115835,103.70083,73.177025,162,91
1155.png,71.54161,5.1365576,86.82556,25.765,162,90
1156.png,49.112328,30.98415,83.94644,79.79417,140,115
1157.png,60.436115,25.12145,98.099174,67.658226,162,91
1158.png,28.574553,18.134674,66.53579,59.07211,105,140
1159.png,29.80823,6.1241426,47.971714,30.797411,162,121
116.png,36.10107,13.632511,72.35591,62.18001,93,140
1160.png,54.654907,16.874659,87.675964,63.100304,162,91
1161.png,55.886093,11.538061,83.335884,47.543762,162,91
1162.png,50.35479,17.69264,87.68304,91.66769,134,140
1163.png,75.727776,3.2642782,115.53974,54.552456,162,85
1164.png,38.08253,18.98474,95.45031,101.1346,140,140
1165.png,27.950228,44.268826,74.87971,97.45739,118,140
1166.png,31.963087,34.029324,79.94966,100.397026,93,140
1167.png,34.095596,4.650905,50.751717,29.221176,162,106
1168.png,53.35557,27.348345,74.54819,48.10467,162,91
1169.png,13.878068,22.844572,74.03137,111.031136,105,139
117.png,63.661163,14.831789,105.99614,68.26247,162,108
1170.png,83.42708,52.9419,106.1019,84.58098,140,140
1171.png,66.9997,16.613462,96.70934,55.446747,162,108
1172.png,43.829174,47.36314,78.61662,83.25581,112,140
