path,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,lentes_claros,lentes_oscuros,ilumincacion,cara_cubierta,postura_inadecuada,sombrero,bb_x1,bb_y1,bb_x2,bb_y2
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\0082-image19621.jpg,46.735027,51.090744,92.324864,46.444646,64.157895,77.225045,48.767695,91.163339,91.163339,89.130672,0,0,1,0,0,0,23.82043,-9.126341,128.34758,137.84506
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\0075-image60569.jpg,45.283122,55.736842,88.259528,55.736842,70.546279,86.517241,49.92922,103.940109,82.161525,105.101633,0,0,1,0,0,0,11.581448,-0.56118965,104.669,153.93927
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\0079-image23579.jpg,52.833031,46.154265,96.3902,52.833031,58.350272,72.288566,38.313975,93.486388,81.580762,96.680581,0,0,1,0,0,0,22.399687,5.536397,106.25879,130.87177
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1115-image19842.jpg,45.573503,55.15608,89.421053,55.15608,64.448276,85.646098,41.217786,98.713249,91.453721,98.422868,0,0,1,0,0,0,6.130904,1.7827302,104.43463,145.64236
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1114-image15340.jpg,49.348457,41.508167,93.196007,45.283122,61.834846,76.644283,46.735027,90.292196,85.355717,92.905626,0,0,0,0,0,0,20.0579,-3.9266376,124.0488,130.31015
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1113-image21010.jpg,50.509982,55.446461,98.422868,52.252269,78.967332,82.451906,57.479129,101.326679,99.584392,94.938294,1,0,0,0,0,0,6.739761,-0.5216181,136.56186,141.79927
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1112-image36954.jpg,47.606171,41.798548,92.324864,40.346642,77.225045,73.450091,44.121597,90.001815,80.128857,90.001815,0,0,1,0,0,0,7.871385,7.853839,96.00861,120.61717
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1111-image37195.jpg,48.767695,45.573503,86.517241,42.088929,47.315789,72.288566,49.92922,96.3902,88.549909,95.809437,0,0,0,0,0,1,26.581697,0.8134067,115.73349,133.00986
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1106-image13012.jpg,49.638838,44.702359,92.324864,43.540835,71.707804,80.128857,51.381125,92.905626,95.809437,88.549909,0,0,1,0,0,1,21.113424,5.5545015,119.242874,141.93286
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1110-image23133.jpg,56.317604,50.800363,108.295826,51.671506,80.709619,72.578947,58.640653,96.3902,97.842105,97.261343,0,0,0,0,0,0,23.81975,4.1353626,132.0384,129.7717
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1109-image05469.jpg,47.025408,56.027223,91.453721,33.087114,83.032668,76.644283,70.255898,96.970962,107.715064,78.38657,0,0,0,0,0,0,18.902859,6.2200384,112.3823,117.46307
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1108-image32681.jpg,56.317604,51.671506,89.130672,56.317604,81.0,74.321234,55.446461,96.3902,84.484574,99.00363,0,0,1,0,0,0,20.284382,19.916225,94.883995,127.70056
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1107-image21178.jpg,67.932849,44.121597,109.45735,52.54265,83.61343,82.742287,64.448276,92.615245,97.261343,101.907441,0,0,0,0,0,0,38.81477,7.025689,128.19524,125.55657
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1105-image22244.jpg,56.607985,35.410163,106.84392,47.606171,70.255898,70.836661,49.348457,86.22686,85.936479,93.77677,0,0,1,0,0,0,17.012827,18.358915,119.3474,114.13368
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1104-image03609.jpg,63.286751,40.346642,108.295826,45.863884,76.934664,73.450091,58.640653,85.065336,104.811252,89.711434,0,0,1,0,0,0,34.303577,-0.98448247,138.99773,123.91765
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1103-image23761.jpg,56.027223,49.348457,105.972777,45.283122,88.259528,81.290381,64.157895,91.453721,104.23049,87.678766,0,0,1,0,0,0,25.955513,11.084729,125.78999,124.06107
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1102-image60476.jpg,50.509982,55.736842,84.484574,48.767695,51.961887,77.805808,56.898367,102.488203,84.194192,96.970962,0,0,0,1,0,0,32.680496,3.9306164,122.93572,133.50102
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1101-image21301.jpg,60.092559,40.346642,108.005445,43.250454,87.388385,67.352087,61.254083,83.323049,99.874773,85.065336,0,0,0,0,0,0,23.031713,3.0317903,126.90344,117.06702
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1100-image34070.jpg,63.577132,49.348457,104.520871,58.059891,98.132486,81.0,59.511797,98.422868,93.486388,103.649728,0,0,1,0,0,0,15.932844,9.099479,102.4648,126.801125
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1099-image67256.jpg,53.994555,53.994555,96.680581,49.92922,70.255898,86.22686,57.76951,99.584392,102.197822,95.519056,0,0,0,0,1,0,31.451311,2.7153924,124.80521,139.6221
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1098-image29737.jpg,37.15245,58.059891,81.871143,53.413793,82.451906,83.032668,47.025408,104.23049,87.098004,100.455535,0,0,1,0,0,0,0.033921003,6.0225606,94.81215,166.37221
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1097-image20895.jpg,41.217786,61.834846,88.84029,56.317604,63.867514,73.740472,50.800363,104.811252,81.580762,102.197822,0,0,1,0,0,0,10.982448,4.474072,112.411095,139.03871
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1096-image66378.jpg,53.994555,39.185118,96.970962,47.025408,72.869328,75.482759,49.058076,87.678766,86.517241,92.324864,0,0,1,0,0,0,16.651243,-2.7878165,118.35554,128.73135
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1095-image44687.jpg,40.637024,44.702359,82.161525,43.540835,48.767695,74.611615,40.056261,92.615245,68.803993,94.647913,0,0,0,0,0,0,25.492027,15.865472,112.48597,117.92617
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1094-image20426.jpg,52.54265,47.896552,89.130672,51.961887,64.157895,78.38657,59.802178,92.905626,89.421053,96.099819,0,0,0,0,1,0,33.142464,4.466687,133.8614,119.77851
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1093-image56712.jpg,52.54265,43.831216,96.3902,45.863884,54.284936,73.740472,47.315789,91.453721,89.421053,95.228675,0,0,0,0,1,0,30.332283,-0.08939803,127.72844,130.39874
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1092-image22155.jpg,53.413793,40.346642,96.099819,39.475499,75.77314,66.190563,58.059891,86.517241,91.453721,87.678766,0,0,1,0,0,0,27.680813,-1.8398032,110.591125,132.0868
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1091-image22963.jpg,40.346642,51.961887,82.451906,53.994555,54.865699,79.257713,42.37931,89.130672,82.161525,91.163339,1,0,0,0,0,0,14.564328,9.056841,106.1572,129.7056
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1090-image56513.jpg,68.513612,62.125227,104.23049,58.350272,64.448276,78.676951,62.125227,108.295826,89.130672,107.424682,0,0,0,0,0,0,53.649723,24.633358,139.29364,131.4129
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1089-image10018.jpg,46.735027,43.831216,96.970962,43.831216,71.998185,79.838475,46.735027,92.905626,101.036298,90.872958,0,0,1,0,0,0,16.078068,-4.2495,125.27388,147.89488
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1088-image25236.jpg,60.963702,60.673321,101.907441,36.571688,67.642468,67.642468,75.192377,108.005445,110.909256,93.196007,0,0,0,0,0,0,38.520023,-4.176356,147.6989,136.53958
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1087-image13446.jpg,43.540835,60.092559,86.807623,54.575318,60.092559,74.901996,41.798548,101.907441,90.582577,98.132486,1,0,0,0,0,0,14.454666,-14.773875,120.54619,143.17131
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1086-image08177.jpg,43.250454,57.76951,82.742287,36.281307,52.54265,75.77314,56.607985,104.23049,87.388385,90.872958,0,0,0,0,1,0,23.31933,4.1533785,122.47603,143.426
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1085-image64072.jpg,52.833031,43.250454,103.649728,41.798548,74.611615,77.805808,63.286751,85.936479,100.165154,85.065336,0,0,1,0,0,0,36.236782,7.514159,129.78442,115.51545
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1084-image27752.jpg,51.090744,42.37931,94.357532,44.99274,81.0,72.869328,38.604356,90.001815,80.128857,95.228675,0,0,0,1,0,0,3.2534971,12.165231,104.32747,135.80171
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1082-image71001.jpg,57.76951,54.865699,103.359347,37.15245,68.513612,70.255898,76.353902,99.584392,106.553539,92.615245,0,0,0,0,0,0,40.476654,6.7006273,145.24356,123.30531
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1081-image66148.jpg,39.185118,53.123412,86.22686,56.317604,67.932849,87.388385,39.185118,95.228675,77.515426,99.294011,0,0,0,0,0,0,4.9499855,4.3087945,104.3581,139.26761
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1080-image51962.jpg,62.415608,39.76588,104.520871,56.898367,80.419238,65.319419,43.540835,78.38657,85.646098,97.551724,0,0,0,0,0,0,4.987411,3.6925926,127.6179,125.966034
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1079-image22029.jpg,54.865699,58.931034,99.294011,50.219601,72.578947,75.77314,65.900181,100.745917,97.261343,94.647913,0,0,0,0,1,0,32.120155,8.332864,143.13812,125.68375
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1078-image67210.jpg,50.509982,42.37931,97.261343,47.606171,68.803993,75.482759,45.283122,86.517241,92.034483,94.067151,0,0,0,0,0,0,5.6952105,1.7494485,127.76018,131.37468
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1077-image02333.jpg,34.53902,45.283122,80.128857,42.669691,53.123412,85.065336,35.990926,104.811252,78.096189,102.778584,0,0,1,0,0,0,30.2842,0.33349693,95.93051,139.30548
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1076-image26814.jpg,66.771325,51.961887,104.23049,44.411978,71.417423,76.644283,72.869328,100.455535,104.23049,94.938294,0,0,0,0,0,0,46.65811,3.4524589,137.04176,126.244995
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1075-image24567.jpg,60.673321,48.186933,108.586207,47.315789,106.84392,88.549909,56.607985,97.551724,99.294011,97.842105,0,0,1,0,0,0,-3.1595082,-0.86058676,119.98128,141.16632
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1074-image20790.jpg,52.54265,60.38294,91.163339,62.705989,76.063521,80.128857,54.575318,98.132486,87.388385,97.551724,1,0,0,0,0,0,11.424449,14.067033,102.01986,130.4871
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1073-image10016.jpg,60.092559,44.121597,104.811252,47.315789,68.22323,68.513612,52.54265,93.77677,96.3902,99.294011,0,0,1,0,1,0,28.775011,-1.695165,138.3711,139.78024
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1072-image13061.jpg,40.637024,55.15608,83.323049,47.606171,65.6098,76.644283,53.413793,94.357532,83.903811,91.744102,0,0,0,0,0,1,13.935046,17.060902,97.09171,109.846115
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1071-image26194.jpg,62.125227,58.350272,100.165154,54.575318,69.965517,88.84029,73.15971,103.649728,97.551724,102.197822,0,0,0,1,0,0,43.14581,7.483372,140.16093,120.052635
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1070-image55847.jpg,58.059891,54.865699,96.3902,39.76588,72.578947,85.065336,73.740472,99.294011,107.715064,87.678766,0,0,1,0,0,0,29.218725,4.495883,123.41485,112.7278
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1069-image03802.jpg,55.15608,52.54265,103.068966,62.415608,72.578947,82.451906,46.154265,95.519056,89.130672,106.84392,0,0,0,0,0,0,15.76159,5.6806774,133.23753,141.40254
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1068-image64265.jpg,52.252269,57.76951,102.197822,58.931034,78.38657,83.323049,48.477314,107.424682,102.488203,110.618875,1,0,0,0,0,0,3.7329376,10.094203,136.34161,143.52711
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1067-image20890.jpg,46.154265,46.444646,85.355717,43.540835,68.513612,66.771325,54.865699,91.163339,80.419238,90.872958,0,0,0,0,0,0,10.714379,2.3597226,106.52844,115.0775
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1066-image28856.jpg,56.317604,42.960073,105.392015,48.477314,83.323049,69.094374,56.607985,87.098004,94.647913,92.324864,0,0,0,1,0,0,8.856413,-3.2578871,123.9099,116.72802
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1065-image32039.jpg,56.317604,48.767695,105.972777,39.185118,81.0,69.675136,61.834846,93.77677,114.974592,82.742287,0,0,1,0,0,0,33.30191,5.3964524,135.02112,118.16102
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1064-image25658.jpg,53.123412,30.473684,89.130672,60.38294,84.194192,70.255898,49.638838,84.484574,76.934664,112.07078,0,0,1,0,0,0,5.24046,-3.273703,94.33308,120.34543
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1364-image11153.jpg,48.477314,51.961887,103.649728,55.736842,73.740472,76.353902,44.121597,95.519056,94.067151,98.422868,0,1,0,0,0,0,11.386728,7.4697466,115.019196,136.77979
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1062-image18677.jpg,51.381125,46.154265,99.00363,49.92922,74.611615,86.22686,45.863884,93.486388,88.549909,96.3902,0,0,1,0,0,0,10.5177555,2.460797,111.93476,127.81531
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1060-image07238.jpg,68.803993,49.92922,111.490018,62.99637,70.836661,69.094374,54.284936,93.486388,86.517241,106.84392,0,0,1,0,1,0,37.968655,16.842909,135.86662,150.1061
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1059-image67286.jpg,53.994555,56.898367,97.842105,52.54265,83.032668,83.032668,61.544465,100.455535,99.00363,95.228675,0,0,0,0,0,0,18.217112,2.9270008,115.73394,144.29727
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1058-image23425.jpg,58.350272,54.284936,110.328494,53.994555,83.032668,67.642468,62.415608,103.649728,107.134301,103.359347,0,1,0,0,0,0,25.23589,2.6339471,132.70874,150.56676
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1056-image20836.jpg,54.865699,40.346642,101.326679,40.346642,78.096189,60.963702,58.059891,90.292196,97.261343,91.453721,0,0,1,0,0,0,27.519728,2.2700474,125.72556,125.39148
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1055-image23575.jpg,48.477314,61.254083,94.938294,50.800363,76.934664,81.580762,55.15608,104.520871,104.811252,95.228675,0,0,0,0,0,0,17.551062,-1.8952355,122.11914,143.76233
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1053-image21134.jpg,61.834846,56.027223,104.520871,53.123412,67.352087,85.936479,63.286751,102.778584,95.519056,104.520871,0,0,1,0,1,0,38.105503,1.6217172,136.97275,132.59018
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1052-image01058.jpg,42.088929,44.411978,87.098004,43.540835,57.76951,68.513612,47.315789,93.486388,80.419238,92.324864,0,0,1,0,0,0,21.402628,-1.0271742,119.72528,123.44756
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1051-image00310.jpg,52.54265,38.604356,101.61706,40.346642,74.901996,69.384755,56.317604,84.194192,94.647913,86.517241,0,0,1,0,0,0,9.559965,1.8751814,129.57722,112.740524
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1050-image23611.jpg,47.606171,62.125227,94.938294,56.898367,71.417423,77.225045,53.704174,98.713249,95.228675,94.357532,0,0,1,0,0,0,15.287228,10.938607,117.82603,121.73465
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1049-image32015.jpg,53.413793,56.898367,94.647913,40.346642,65.029038,71.998185,66.771325,106.553539,91.744102,99.00363,1,0,1,0,1,0,25.250883,4.836126,112.96728,149.34099
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1048-image38083.jpg,57.76951,47.896552,107.134301,60.092559,71.127042,86.807623,49.058076,95.228675,93.486388,104.811252,0,0,1,0,0,0,17.78023,-13.041003,126.670494,148.95737
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1047-image45205.jpg,61.544465,56.317604,103.359347,53.413793,62.705989,71.707804,50.800363,101.907441,81.580762,105.682396,0,0,1,0,1,0,46.479107,14.588995,144.57161,139.63756
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1046-image60777.jpg,57.188748,50.800363,99.00363,57.479129,74.030853,83.032668,53.994555,99.00363,82.161525,103.068966,0,0,1,0,0,0,20.69847,5.3682985,116.233154,128.6554
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1045-image12349.jpg,44.411978,44.411978,86.517241,48.477314,78.38657,75.77314,46.735027,92.034483,77.515426,94.938294,0,0,1,0,0,0,9.890056,0.033026934,98.44712,118.86726
C:\Users\isaac\PycharmProjects\tensorflow_filter\AFLW\1044-image03750.jpg,53.704174,62.99637,99.584392,53.704174,86.517241,89.711434,63.867514,108.876588,107.134301,98.713249,0,0,0,0,0,0,16.434767,9.853403,121.56864,143.31133
