,path,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,lentes_claros,lentes_oscuros,iluminacion_indadecuada,cara_cubierta,postura_inadecuada,sombrero,id
0,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3397.jpg,513.5,183.5,684.0,184.5,614,310,533,377,656,376,0,0,0,0,0,0,49457
1,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3386.jpg,674.0,138.5,863.5,165.5,800,304,686,373,823,385,0,0,0,0,0,0,49446
2,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3378.jpg,478.5,348.0,646.5,314.0,596,471,538,556,667,519,0,0,0,0,0,0,49438
3,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3372.jpg,516.0,244.5,700.0,226.0,647,368,559,442,704,416,0,0,1,0,0,0,49432
4,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3369.jpg,536.0,213.0,731.0,198.0,677,336,575,427,729,400,0,0,1,0,0,0,49429
5,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3411.jpg,548.5,108.5,721.5,120.0,636,234,549,304,684,309,0,0,0,0,0,0,49471
6,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3416.jpg,546.5,137.5,717.0,137.0,653,260,569,329,698,321,0,0,0,0,0,0,49476
7,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3427.jpg,632.5,134.0,791.5,163.0,730,273,628,326,747,344,0,0,0,0,0,0,49487
8,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3421.jpg,618.5,151.0,781.5,162.0,724,281,623,354,742,359,0,0,0,0,0,0,49481
9,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3412.jpg,545.5,141.5,716.0,144.5,641,270,558,337,684,339,0,0,0,0,0,0,49472
10,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3404.jpg,510.5,120.5,682.0,112.5,610,220,533,306,664,299,0,0,1,0,0,0,49464
11,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3389.jpg,570.5,224.0,738.0,244.0,665,365,566,410,692,423,0,0,0,0,0,0,49449
12,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3376.jpg,652.0,265.5,838.5,284.5,779,419,664,483,808,492,0,0,1,0,0,0,49436
13,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3410.jpg,519.0,132.5,694.0,126.5,625,256,542,326,672,321,0,0,1,0,0,0,49470
14,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3417.jpg,538.5,165.0,711.0,164.5,639,292,561,353,692,346,0,0,1,0,0,0,49477
15,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3414.jpg,621.0,140.0,777.0,156.0,728,274,627,335,736,342,0,0,0,0,0,0,49474
16,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3396.jpg,490.5,176.5,656.0,174.0,582,297,505,362,637,361,0,0,1,0,0,0,49456
17,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3403.jpg,525.0,117.5,694.0,120.5,623,245,541,314,668,314,0,0,0,0,0,0,49463
18,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3415.jpg,460.5,147.0,621.0,119.5,553,251,498,332,622,312,0,0,1,0,0,0,49475
19,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3408.jpg,572.5,119.5,737.0,128.5,682,244,590,313,713,312,0,0,1,0,0,0,49468
20,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3398.jpg,516.0,181.0,686.0,187.5,610,310,528,371,658,373,0,0,1,0,0,0,49458
21,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3394.jpg,487.5,162.0,644.0,171.5,557,292,484,355,616,358,0,0,1,0,0,0,49454
22,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3382.jpg,672.5,241.5,845.0,263.0,782,389,668,445,803,457,0,0,0,0,0,0,49442
23,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3375.jpg,538.5,195.5,723.5,174.5,676,308,583,392,741,364,0,0,1,0,0,0,49435
24,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3424.jpg,497.0,142.0,654.0,123.5,578,247,516,329,644,316,0,0,0,0,0,0,49484
25,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3413.jpg,528.0,119.0,701.0,114.5,635,236,553,310,679,303,0,0,0,0,0,0,49473
26,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3400.jpg,394.0,213.5,540.5,168.0,494,304,451,390,573,351,0,0,0,0,0,0,49460
27,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3385.jpg,568.5,180.0,761.5,168.5,692,317,609,401,749,387,0,0,1,0,0,0,49445
28,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3426.jpg,515.5,123.5,682.0,117.0,608,234,538,319,662,316,0,0,1,0,0,0,49486
29,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3401.jpg,514.5,133.0,685.0,134.5,613,257,534,328,662,324,0,0,1,0,0,0,49461
30,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3392.jpg,494.0,176.5,666.0,171.5,595,296,518,368,642,364,0,0,1,0,0,0,49452
31,C:\Users\isaac\Downloads\vlogs1\classified\47\live\47_3390.jpg,539.5,197.0,710.5,204.5,637,328,548,394,674,401,0,0,0,0,0,0,49450
